 # Non-zero Gaunt coefficients 
 # for L2.le.L1 and L3 > 1     
 # index L1   L2   L3    Gaunt   
  129    7    2   12    0.2023006594034207E+00
  130    9    2   12    0.5839917008190178E-01
  131   12    1   12    0.2820947917738783E+00
  132   10    9   12   -0.9403159725795930E-01
  133   11    8   12    0.1151647164904453E+00
  134   12    7   12    0.1261566261010082E+00
  135   12    9   12   -0.1456731240789439E+00
  136   13    6   12    0.5947080387175906E-01
  137   14    5   12    0.1456731240789439E+00
  138   15    6   12   -0.1151647164904453E+00
  139   16    5   12    0.9403159725795930E-01
  140    6    2   13   -0.1430481681026689E+00
  141    7    3   13    0.2477666950834765E+00
  142    8    4   13   -0.1430481681026689E+00
  143   13    1   13    0.2820947917738784E+00
  144   11    5   13   -0.1880631945159189E+00
  145   12    6   13    0.5947080387175905E-01
  146   13    7   13    0.1682088348013445E+00
  147   14    8   13    0.5947080387175905E-01
  148   15    9   13   -0.1880631945159189E+00
  149    5    2   14   -0.5839917008190178E-01
  150    7    4   14    0.2023006594034207E+00
  151    8    3   14    0.2335966803276076E+00
  152    9    4   14   -0.5839917008190178E-01
  153   14    1   14    0.2820947917738783E+00
  154   10    5   14   -0.9403159725795930E-01
  155   11    6   14    0.1151647164904453E+00
  156   12    5   14    0.1456731240789439E+00
  157   13    8   14    0.5947080387175906E-01
  158   14    7   14    0.1261566261010082E+00
  159   14    9   14    0.1456731240789439E+00
  160   15    8   14    0.1151647164904453E+00
  161   16    9   14   -0.9403159725795930E-01
  162    6    2   15   -0.1846743909223719E+00
  163    8    4   15    0.1846743909223719E+00
  164    9    3   15    0.1846743909223719E+00
  165   15    1   15    0.2820947917738783E+00
  166   10    6   15    0.1486770096793977E+00
  167   12    6   15   -0.1151647164904453E+00
  168   13    9   15   -0.1880631945159189E+00
  169   14    8   15    0.1151647164904453E+00
  170   16    8   15    0.1486770096793977E+00
  171    5    2   16   -0.2261790131595403E+00
  172    9    4   16    0.2261790131595403E+00
  173   16    1   16    0.2820947917738781E+00
  174   11    6   16   -0.1486770096793977E+00
  175   12    5   16    0.9403159725795929E-01
  176   14    9   16   -0.9403159725795929E-01
  177   15    8   16    0.1486770096793977E+00
  178   16    7   16   -0.2102610435016799E+00
  179    9    5   17    0.2384136135044480E+00
  180   10    4   17    0.2303294329808903E+00
  181   16    2   17    0.2303294329808903E+00
  182   14   10   17   -0.1175200669506001E+00
  183   15   11   17    0.1517177540482852E+00
  184   16   12   17   -0.1175200669506002E+00
  185    8    5   18    0.1685838828361840E+00
  186    9    6   18    0.1685838828361839E+00
  187   10    3   18    0.1628675039676400E+00
  188   11    4   18    0.1994711402007164E+00
  189   15    2   18    0.1994711402007164E+00
  190   13   10   18   -0.2035507268673357E+00
  191   14   11   18    0.6785024228911199E-01
  192   15   12   18    0.6785024228911199E-01
  193    7    5   19    0.1560783472274399E+00
  194    8    6   19    0.1802237515728687E+00
